0
"[[ 831]
 [ 66]
 [166]
 [ 66]
 [ 99]
 [532]
 [ 99]
 [ 99]
 [165]
 [199]
 [367]
 [ 99]
 [199]
 [232]
 [ 99]
 [166]
 [299]
 [132]
 [ 99]
 [133]
 [266]
 [299]
 [133]
 [131]
 [299]
 [ 67]
 [300]
 [199]
 [498]
 [100]
 [232]
 [ 99]
 [ 99]
 [ 99]
 [ 66]
 [ 98]
 [200]
 [166]
 [100]
 [ 66]
 [ 66]
 [ 66]
 [199]
 [133]
 [199]
 [266]
 [332]
 [267]
 [366]
 [ 99]
 [232]
 [366]
 [199]
 [332]
 [299]
 [499]
 [133]
 [ 66]
 [100]
 [367]
 [232]
 [166]
 [465]
 [132]
 [465]
 [366]
 [366]
 [266]
 [166]
 [166]
 [499]
 [432]
 [266]
 [166]
 [167]
 [931]
 [265]
 [233]
 [199]
 [199]
 [133]
 [ 99]
 [199]
 [399]
 [266]
 [133]
 [199]
 [ 99]
 [100]
 [ 99]
 [169]
 [166]
 [232]
 [266]
 [299]
 [266]
 [133]
 [100]
 [ 66]
 [ 99]
 [166]
 [199]
 [132]
 [166]
 [232]
 [299]
 [100]
 [ 66]
 [167]
 [166]
 [299]
 [232]
 [133]
 [133]
 [132]
 [132]
 [133]
 [332]]"
"[[199]
 [266]
 [ 66]
 [134]
 [166]
 [199]
 [731]
 [199]
 [ 67]
 [165]
 [ 66]
 [399]
 [266]
 [ 66]
 [301]
 [ 66]
 [199]
 [ 66]
 [100]
 [166]
 [232]
 [166]
 [299]
 [ 99]
 [432]
 [299]
 [ 66]
 [199]
 [133]
 [ 99]
 [266]
 [132]
 [399]
 [167]
 [498]
 [199]
 [299]
 [199]
 [133]
 [164]
 [166]
 [166]
 [233]
 [166]
 [166]
 [ 66]
 [100]
 [132]
 [164]
 [133]
 [432]
 [ 99]
 [ 99]
 [166]
 [299]
 [ 99]
 [ 98]
 [157]
 [365]
 [100]
 [432]
 [166]
 [ 99]
 [100]
 [199]
 [299]
 [266]
 [299]
 [263]
 [199]
 [133]
 [ 99]
 [399]
 [232]
 [166]
 [265]
 [ 66]
 [332]
 [166]
 [166]
 [133]
 [ 66]
 [ 99]
 [199]
 [266]
 [132]
 [ 66]
 [ 99]
 [233]
 [199]
 [133]
 [ 99]
 [199]
 [ 99]
 [ 66]
 [ 66]
 [199]
 [100]
 [432]
 [399]
 [ 99]
 [100]
 [ 66]
 [399]
 [133]
 [299]
 [332]
 [ 67]
 [365]
 [199]
 [232]
 [366]
 [133]
 [ 66]
 [132]
 [ 66]
 [199]
 [133]
 [133]
 [ 99]
 [266]
 [ 66]
 [ 68]
 [299]
 [432]
 [166]
 [199]
 [332]
 [166]
 [133]
 [ 66]
 [166]
 [199]
 [266]
 [300]
 [232]
 [498]
 [133]
 [ 66]
 [532]
 [167]
 [665]
 [233]
 [133]
 [100]
 [134]
 [266]
 [298]
 [398]
 [ 99]
 [ 99]
 [199]
 [ 99]
 [166]
 [265]
 [166]
 [133]
 [ 99]
 [598]
 [332]
 [266]
 [598]
 [199]
 [299]
 [166]
 [ 99]
 [166]
 [232]
 [133]
 [167]
 [266]
 [232]
 [133]
 [ 66]
 [166]
 [ 66]
 [100]
 [133]
 [132]
 [233]
 [132]
 [299]
 [ 99]
 [532]
 [166]
 [200]
 [499]
 [299]
 [432]
 [532]
 [299]
 [ 66]
 [299]
 [164]
 [399]
 [399]
 [199]
 [133]
 [199]
 [398]
 [ 99]
 [166]
 [ 99]
 [166]
 [133]
 [433]
 [698]
 [ 99]
 [199]
 [565]
 [132]
 [133]
 [665]
 [266]
 [399]
 [ 66]
 [332]
 [399]
 [267]
 [166]
 [ 66]
 [162]
 [233]
 [133]
 [ 66]
 [332]
 [166]
 [266]
 [ 99]
 [199]
 [133]
 [ 66]
 [432]
 [266]
 [332]
 [ 99]
 [698]
 [266]
 [399]
 [ 99]
 [133]
 [199]
 [199]
 [232]
 [132]
 [100]
 [ 99]
 [100]
 [ 99]
 [133]
 [ 66]
 [ 99]
 [ 99]
 [166]
 [166]
 [133]
 [598]
 [298]
 [166]
 [332]
 [ 99]
 [233]
 [365]
 [332]
 [232]
 [133]
 [332]
 [199]
 [166]
 [199]
 [ 99]
 [ 99]
 [298]
 [133]
 [133]
 [133]
 [ 99]
 [399]
 [133]
 [266]
 [ 66]
 [299]
 [ 65]
 [532]
 [199]
 [232]
 [ 99]
 [ 99]
 [133]
 [ 66]
 [132]
 [199]
 [ 66]
 [299]
 [133]
 [ 66]
 [166]
 [133]
 [ 99]
 [199]
 [ 99]
 [399]
 [237]
 [166]
 [166]
 [299]
 [ 99]
 [ 99]
 [199]
 [732]
 [199]
 [565]
 [ 99]
 [132]
 [233]
 [232]
 [232]
 [ 99]
 [232]
 [166]
 [199]
 [102]
 [133]
 [199]
 [133]
 [299]
 [ 99]
 [165]
 [199]
 [332]
 [ 99]
 [199]
 [132]
 [100]
 [465]
 [266]
 [ 99]
 [132]
 [199]
 [231]
 [133]
 [199]
 [232]
 [ 99]
 [232]
 [166]
 [299]
 [266]
 [299]
 [232]
 [266]
 [133]
 [199]
 [166]
 [133]
 [ 99]
 [332]
 [166]
 [299]
 [299]
 [509]
 [132]
 [199]
 [299]
 [299]
 [498]
 [167]
 [266]
 [266]
 [199]
 [132]
 [199]
 [232]
 [199]
 [ 99]
 [106]
 [299]
 [ 99]
 [133]
 [ 99]
 [ 99]
 [166]
 [ 99]
 [ 99]
 [ 99]
 [ 99]
 [ 66]
 [133]
 [ 99]
 [266]
 [166]
 [ 66]
 [ 66]
 [ 99]
 [532]
 [ 99]
 [133]
 [133]
 [133]
 [ 99]
 [133]
 [166]
 [232]
 [ 65]
 [166]
 [100]
 [166]
 [ 99]
 [199]
 [299]
 [166]
 [266]
 [132]
 [266]
 [166]]"
"[[ 199]
 [ 133]
 [  93]
 [ 266]
 [ 166]
 [ 222]
 [  99]
 [ 232]
 [ 299]
 [ 233]
 [  99]
 [ 166]
 [ 166]
 [ 166]
 [ 232]
 [ 365]
 [  99]
 [  66]
 [ 199]
 [  66]
 [ 299]
 [ 199]
 [ 133]
 [  99]
 [ 133]
 [ 166]
 [  99]
 [ 166]
 [  99]
 [ 232]
 [ 232]
 [  66]
 [ 166]
 [  66]
 [ 199]
 [  99]
 [ 133]
 [ 100]
 [  66]
 [  99]
 [  99]
 [  99]
 [  99]
 [  66]
 [ 133]
 [ 133]
 [ 166]
 [  99]
 [ 266]
 [ 133]
 [ 132]
 [ 199]
 [  66]
 [ 266]
 [  66]
 [ 365]
 [ 166]
 [  66]
 [ 166]
 [ 166]
 [  66]
 [ 133]
 [ 133]
 [  99]
 [  98]
 [ 166]
 [  99]
 [ 133]
 [ 199]
 [  99]
 [  99]
 [ 732]
 [ 399]
 [ 266]
 [  99]
 [ 166]
 [ 232]
 [  66]
 [ 100]
 [ 166]
 [  66]
 [ 332]
 [  99]
 [ 133]
 [  99]
 [ 299]
 [ 266]
 [  99]
 [  99]
 [1297]
 [  65]
 [ 531]
 [ 199]
 [  99]
 [  66]
 [  98]
 [ 166]
 [  66]
 [  99]
 [ 399]
 [ 199]
 [ 166]
 [ 432]
 [ 299]
 [ 332]
 [  99]
 [ 598]
 [ 299]
 [ 232]
 [  99]
 [ 166]
 [ 199]
 [ 132]
 [ 399]
 [  99]
 [ 199]
 [ 166]
 [ 133]
 [  66]
 [  99]
 [ 232]
 [  66]
 [  99]
 [  66]
 [ 166]
 [  66]
 [ 265]
 [ 166]
 [ 199]
 [ 100]
 [ 232]
 [ 232]
 [ 166]
 [ 332]
 [ 432]
 [ 299]
 [  66]
 [  66]
 [ 266]
 [ 432]
 [  99]
 [ 765]
 [ 133]
 [  66]
 [ 166]
 [  99]
 [ 299]
 [ 166]
 [ 199]
 [ 232]
 [ 166]
 [ 399]
 [ 499]
 [ 133]
 [ 166]
 [ 265]
 [  64]
 [ 632]
 [ 465]
 [ 465]
 [ 233]
 [ 232]
 [ 132]
 [  99]
 [ 133]
 [ 234]
 [  66]
 [ 132]
 [  66]
 [ 133]
 [  66]
 [ 198]
 [ 565]
 [ 133]
 [ 266]
 [  99]
 [ 365]
 [ 199]
 [  99]
 [  66]
 [ 199]
 [ 166]
 [ 133]
 [ 199]
 [ 165]
 [ 199]
 [ 466]
 [  99]
 [  66]
 [  99]
 [  99]
 [ 166]
 [  99]
 [  99]
 [ 764]
 [ 299]
 [ 100]
 [ 166]
 [ 299]
 [ 266]
 [ 233]
 [ 266]
 [ 166]
 [  99]
 [ 232]
 [ 133]
 [ 133]
 [ 299]
 [ 499]
 [ 299]
 [ 200]
 [ 365]
 [ 299]
 [ 397]
 [ 166]
 [ 133]
 [ 598]
 [ 133]
 [ 366]
 [  99]
 [ 166]
 [ 266]
 [ 166]
 [  66]
 [  67]
 [  98]
 [1297]
 [ 166]
 [ 432]
 [ 431]
 [  99]
 [  99]
 [ 332]
 [ 133]
 [ 598]
 [ 365]
 [ 199]
 [ 499]
 [ 266]
 [ 199]
 [ 266]
 [ 299]
 [ 432]
 [ 199]
 [1297]
 [ 798]
 [ 365]
 [  66]
 [ 232]
 [ 299]
 [  99]
 [ 199]
 [ 166]
 [  99]
 [  66]
 [  66]
 [ 232]
 [  66]
 [  99]
 [ 399]
 [ 233]
 [ 199]
 [ 399]
 [ 199]
 [ 123]
 [ 133]
 [ 166]
 [  66]
 [ 565]
 [ 798]
 [ 299]
 [ 299]
 [ 498]
 [  66]
 [1031]
 [ 598]
 [  99]
 [ 465]
 [ 199]
 [ 365]
 [ 166]
 [ 199]
 [ 632]
 [ 166]
 [ 299]
 [ 765]
 [ 299]
 [ 199]
 [ 199]
 [ 166]
 [ 132]
 [ 432]
 [ 266]
 [1064]
 [  66]
 [ 332]
 [ 266]
 [ 320]
 [ 499]
 [ 366]
 [ 199]
 [ 100]
 [ 332]
 [ 365]
 [ 166]
 [ 199]
 [  99]
 [ 166]
 [ 266]
 [ 133]
 [ 665]
 [ 100]
 [ 166]
 [ 266]
 [ 199]
 [ 265]
 [  99]
 [ 332]
 [ 232]
 [ 199]
 [  66]
 [ 598]
 [ 266]
 [ 299]
 [ 199]
 [  99]
 [  66]
 [ 133]
 [ 399]
 [ 266]
 [ 199]
 [  66]
 [ 365]
 [ 133]
 [ 532]
 [ 470]
 [ 232]
 [ 166]
 [  66]
 [ 365]
 [  99]
 [ 133]
 [ 332]
 [ 233]
 [ 167]
 [ 266]
 [  66]
 [ 598]
 [ 465]
 [ 465]
 [ 433]
 [ 199]
 [  99]
 [ 132]
 [ 166]
 [ 266]
 [  66]
 [ 232]
 [  66]
 [ 632]
 [  67]
 [ 199]
 [ 200]
 [ 665]
 [ 299]
 [ 332]
 [ 133]
 [ 266]
 [ 199]
 [  99]
 [ 365]
 [ 199]
 [  66]
 [ 232]
 [ 266]
 [ 266]
 [ 499]
 [  99]
 [ 232]
 [  99]
 [ 133]
 [ 133]
 [ 166]
 [ 532]
 [ 798]
 [ 133]
 [ 665]
 [ 299]
 [ 166]
 [ 432]
 [ 598]
 [ 299]
 [ 299]
 [ 365]
 [ 166]
 [  66]
 [ 199]
 [ 199]
 [ 399]]"
"[[ 133]
 [ 298]
 [ 101]
 [ 199]
 [ 399]
 [ 166]
 [  66]
 [ 199]
 [ 166]
 [ 166]
 [ 264]
 [ 166]
 [ 166]
 [  66]
 [  99]
 [  99]
 [ 133]
 [ 100]
 [ 366]
 [ 298]
 [ 299]
 [ 399]
 [ 199]
 [  66]
 [ 232]
 [  99]
 [  99]
 [ 133]
 [  99]
 [  99]
 [ 299]
 [ 532]
 [  66]
 [ 199]
 [ 132]
 [ 133]
 [ 532]
 [ 366]
 [ 332]
 [ 296]
 [ 232]
 [ 166]
 [  99]
 [  66]
 [  66]
 [  99]
 [ 133]
 [  99]
 [ 232]
 [  99]
 [  99]
 [ 232]
 [  99]
 [ 266]
 [  66]
 [ 133]
 [ 133]
 [ 134]
 [ 133]
 [  99]
 [ 166]
 [  99]
 [  66]
 [ 266]
 [  99]
 [ 166]
 [  66]
 [ 299]
 [ 232]
 [ 166]
 [ 133]
 [ 266]
 [ 166]
 [  99]
 [ 299]
 [ 199]
 [ 299]
 [ 266]
 [ 166]
 [ 100]
 [  99]
 [ 199]
 [ 233]
 [ 266]
 [ 299]
 [ 166]
 [  66]
 [ 133]
 [ 267]
 [ 199]
 [ 465]
 [  66]
 [ 133]
 [1264]
 [ 122]
 [  99]
 [ 432]
 [ 199]
 [  66]
 [ 299]
 [ 299]
 [ 433]
 [1054]
 [1464]
 [ 732]
 [ 765]
 [ 665]
 [ 366]
 [ 166]
 [2794]
 [1896]
 [2628]
 [ 931]
 [ 665]
 [7619]
 [ 133]
 [  66]
 [  99]
 [  66]
 [  66]
 [ 232]
 [ 166]
 [ 166]
 [ 199]
 [ 532]
 [ 100]
 [ 399]
 [ 233]
 [ 166]
 [  66]
 [ 532]
 [ 765]
 [  99]
 [ 665]
 [ 299]
 [ 399]
 [ 166]
 [  66]
 [ 166]
 [  66]
 [  66]
 [ 765]
 [ 399]
 [ 266]
 [ 232]
 [ 166]
 [ 133]
 [ 199]
 [ 232]
 [ 464]
 [ 132]
 [ 299]
 [ 532]
 [ 665]
 [ 199]
 [ 398]
 [ 202]
 [ 560]
 [ 258]
 [ 332]
 [ 232]
 [ 164]
 [ 132]
 [ 660]
 [ 664]
 [ 131]
 [ 125]
 [  75]
 [ 710]
 [  93]
 [ 366]
 [  99]
 [ 169]
 [ 228]
 [ 101]
 [ 130]
 [ 599]
 [ 166]
 [ 363]
 [ 565]
 [ 165]
 [1202]
 [ 532]
 [ 430]
 [ 227]
 [ 166]
 [ 132]
 [ 133]
 [  65]
 [  93]
 [ 664]
 [ 163]
 [ 347]
 [ 298]
 [ 233]
 [  66]
 [ 166]
 [ 532]
 [ 192]
 [ 341]
 [ 133]
 [ 232]
 [  66]
 [ 532]
 [  66]
 [  99]
 [ 133]
 [  99]
 [ 366]
 [  66]
 [1895]
 [ 133]
 [ 232]
 [ 166]
 [  66]
 [ 399]
 [ 199]
 [ 267]
 [ 132]
 [ 266]
 [ 230]
 [ 266]
 [ 232]
 [ 199]
 [ 133]
 [ 133]
 [  66]
 [  66]
 [ 299]
 [ 132]
 [ 199]
 [  99]
 [ 199]
 [ 332]
 [  99]
 [ 268]
 [  99]
 [ 133]
 [ 166]
 [ 133]
 [ 199]
 [ 199]
 [  99]
 [ 299]
 [ 931]
 [ 166]
 [ 199]
 [ 333]
 [ 167]
 [ 199]
 [ 232]
 [ 166]
 [ 166]
 [  99]
 [ 133]
 [ 133]
 [ 631]
 [ 166]
 [  99]
 [ 332]
 [1098]
 [ 266]
 [ 166]
 [ 132]
 [ 132]
 [ 665]
 [ 366]
 [ 133]
 [ 199]
 [ 100]
 [ 202]
 [ 133]
 [ 565]
 [  66]
 [  99]
 [ 332]
 [ 299]
 [  99]
 [ 199]
 [ 665]
 [ 166]
 [ 232]
 [ 100]
 [ 166]
 [ 299]
 [ 133]
 [  99]
 [ 365]
 [ 366]
 [ 166]
 [ 166]
 [ 166]
 [ 166]
 [ 100]
 [ 199]
 [ 133]
 [ 133]
 [ 799]
 [  99]
 [ 433]
 [ 232]
 [ 166]
 [ 101]
 [ 565]
 [ 232]
 [ 132]
 [ 199]
 [ 266]
 [ 166]
 [ 133]
 [ 133]
 [  99]
 [ 199]
 [ 100]
 [ 199]
 [  99]
 [ 266]
 [  99]
 [ 599]
 [  66]
 [ 532]
 [ 408]
 [ 299]
 [ 332]
 [  99]
 [  66]
 [ 731]
 [ 166]
 [1297]
 [  68]
 [ 399]
 [ 265]
 [ 266]
 [ 133]
 [ 100]
 [ 432]
 [ 199]
 [ 232]
 [ 365]
 [  66]
 [ 332]
 [ 133]
 [ 199]
 [ 199]
 [ 100]
 [  99]
 [ 199]
 [ 199]
 [ 299]
 [ 131]
 [ 199]
 [  99]
 [ 266]
 [  66]
 [  66]
 [ 166]
 [ 133]
 [  95]
 [ 299]
 [ 166]
 [ 532]
 [ 133]
 [ 166]
 [ 499]
 [ 166]
 [ 133]
 [ 166]
 [ 233]
 [  99]
 [ 166]
 [ 133]
 [ 199]
 [ 129]
 [  99]
 [ 565]
 [  99]
 [ 665]
 [  66]
 [ 233]
 [ 133]
 [ 399]
 [ 166]
 [ 532]
 [ 133]
 [ 232]
 [  99]
 [  99]
 [ 199]
 [ 399]
 [  99]
 [ 167]
 [ 132]
 [  99]
 [  66]
 [  99]
 [ 333]
 [ 298]
 [ 664]
 [ 299]
 [ 199]
 [ 332]
 [ 166]
 [  66]
 [ 188]
 [2062]
 [ 365]
 [ 465]
 [ 133]
 [ 100]
 [ 532]
 [ 432]
 [ 232]
 [ 465]
 [ 199]
 [1796]
 [  66]
 [ 465]
 [2029]
 [ 399]
 [ 166]
 [  99]
 [ 266]
 [ 266]
 [ 831]
 [ 598]
 [ 234]
 [ 433]
 [ 133]
 [ 499]
 [ 665]
 [ 266]
 [ 166]
 [  99]
 [ 332]
 [ 166]
 [ 299]
 [ 233]
 [  66]
 [ 166]
 [ 199]
 [  99]
 [ 332]
 [ 365]
 [ 166]
 [  99]
 [ 133]
 [ 399]
 [ 166]
 [ 199]
 [ 166]
 [ 232]
 [  66]
 [ 199]
 [  99]
 [3726]
 [3427]
 [1197]
 [1563]
 [  66]
 [  99]
 [ 898]
 [  99]
 [2428]
 [  66]
 [1630]
 [ 166]
 [3294]
 [1996]
 [  99]
 [ 166]
 [  99]]"
"[[199]
 [ 99]
 [299]
 [166]
 [332]
 [133]
 [ 99]
 [ 99]
 [166]
 [231]
 [166]
 [166]
 [366]
 [232]
 [233]
 [499]
 [132]
 [232]
 [199]
 [199]
 [266]
 [232]
 [132]
 [ 66]
 [ 66]
 [ 66]
 [ 66]
 [166]
 [ 66]
 [166]
 [499]
 [ 66]
 [ 99]
 [632]
 [630]
 [299]
 [166]
 [ 97]
 [134]
 [299]
 [166]
 [199]
 [332]
 [ 66]
 [131]
 [199]
 [732]
 [266]
 [182]
 [333]
 [ 99]
 [133]
 [ 66]
 [332]
 [166]
 [199]
 [ 66]
 [ 99]
 [267]
 [165]
 [133]
 [166]
 [166]
 [232]
 [ 99]
 [ 98]
 [365]
 [531]
 [232]
 [ 65]
 [ 66]
 [ 66]
 [166]
 [133]
 [ 99]
 [133]
 [366]
 [ 66]
 [ 99]
 [ 99]
 [199]
 [ 66]
 [266]
 [222]
 [ 66]
 [366]
 [233]
 [100]
 [361]
 [199]
 [299]
 [133]
 [166]
 [133]
 [233]
 [166]
 [266]
 [ 65]
