0
"[[63.6 51.2  4.   3. ]
 [67.5 48.3  0.   6. ]
 [69.1 49.6  4.   6. ]
 ...
 [87.2 64.4  7.   6. ]
 [89.6 68.2  3.   1. ]
 [87.8 65.9  6.   9. ]]"
 [ 86.7  68.7  16.    9. ]
 [ 84.4  65.8  25.    9. ]
 [ 84.2  71.9  12.   25. ]
 [ 86.3  67.6  36.   15. ]
 [ 83.8  67.9   9.   17. ]
 [ 79.   58.6  17.   15. ]
 [ 80.6  70.8  16.   17. ]
 [ 87.6  68.1  22.   13. ]
 [ 78.9  62.7  28.   12. ]
 [ 78.9  61.1  15.   12. ]
 [ 87.1  65.7  17.    9. ]
 [ 87.3  67.1   6.    9. ]
 [ 68.   50.8  23.    7. ]
 [ 84.6  71.6  32.   36. ]
 [ 83.8  63.3   6.    6. ]
 [ 83.6  61.7  22.   14. ]
 [ 81.6  61.1  31.    9. ]
 [ 81.7  61.   18.   11. ]
 [ 86.3  68.8 518.  113. ]
 [ 84.2  62.   13.    8. ]
 [ 71.3  52.5  17.   21. ]
 [ 72.1  54.4  11.   13. ]
 [ 79.1  58.9   6.   11. ]
 [ 85.   65.9  31.   22. ]
 [ 81.7  61.9   8.   16. ]
 [ 75.9  55.    9.   12. ]
 [ 75.7  57.5  44.   39. ]
 [ 78.7  58.3  12.   26. ]
 [ 78.1  61.8  36.   13. ]
 [ 80.9  61.7   8.    7. ]
 [ 76.1  62.9   6.   11. ]
 [ 86.1  73.6  14.   13. ]]"
"[[ 78.6  55.7  11.    7. ]
 [ 86.1  62.6   9.   13. ]
 [ 88.   64.   12.   18. ]
 ...
 [104.   83.    5.    7. ]
 [104.7  83.   10.    6. ]
 [105.   83.2  18.   13. ]]"
"[[ 77.   52.6  20.   12. ]
 [ 80.1  53.6   9.   15. ]
 [ 82.7  57.2  25.   38. ]
 [ 86.8  62.4  41.   11. ]
 [ 89.3  61.7   0.    5. ]
 [ 90.5  62.1  25.   14. ]
 [ 91.   64.5  11.   10. ]
 [ 91.2  63.4  28.    7. ]
 [ 92.7  66.4   2.    7. ]
 [ 92.3  68.9  17.   10. ]
 [ 92.3  70.6  23.   11. ]
 [ 89.8  69.2  13.    8. ]
 [ 87.6  70.6 634.   19. ]
 [ 80.7  63.7   7.    5. ]
 [ 79.7  61.4  65.    4. ]
 [ 85.6  64.3  26.   11. ]
 [ 88.   66.    9.    0. ]
 [ 89.   66.5   7.    1. ]
 [ 89.4  64.6  34.    8. ]
 [ 87.4  62.6  22.    5. ]
 [ 87.5  62.    3.    1. ]
 [ 89.   61.7   3.    2. ]
 [ 90.9  62.8  40.    9. ]
 [ 91.3  63.    9.    1. ]
 [ 90.3  65.    5.    4. ]
 [ 85.7  63.3   5.   22. ]
 [ 76.1  56.   28.    5. ]
 [ 80.7  60.4  31.    5. ]
 [ 83.6  62.6  18.    7. ]
 [ 86.5  63.   47.   16. ]
 [ 85.5  63.3  12.    2. ]
 [ 84.9  64.9  21.    8. ]
 [ 84.2  70.3  72.   21. ]
 [ 77.   67.3  24.    9. ]
 [ 79.   67.3   9.    4. ]
 [ 83.   66.   10.    5. ]
 [ 83.   64.7  22.    6. ]
 [ 84.4  66.8  12.    8. ]
 [ 85.2  65.4  28.   13. ]
 [ 82.3  63.5  19.    6. ]
 [ 84.3  62.9 144.    5. ]
 [ 90.8  65.   25.    1. ]
 [ 90.   76.3   1.    4. ]
 [ 88.3  77.    0.    0. ]
 [ 87.7  76.3  12.    6. ]
 [ 91.3  77.3  47.    6. ]
 [ 96.3  79.3   2.    4. ]
 [ 93.   76.9   7.    5. ]
 [ 90.   73.8   4.    7. ]
 [ 81.6  67.8   3.    9. ]
 [ 80.   68.    5.    1. ]
 [ 87.4  66.8   2.    7. ]
 [ 85.8  70.6   6.   13. ]
 [ 82.6  67.6  18.   17. ]
 [ 82.5  63.    4.   19. ]
 [ 83.5  65.3   2.    7. ]
 [ 82.7  66.1   8.   16. ]
 [ 83.8  66.1   7.    4. ]
 [ 84.2  71.    3.    4. ]
 [ 80.7  62.5   9.   17. ]
 [ 81.2  62.    4.    2. ]
 [ 83.5  62.7   7.    7. ]
 [ 87.5  64.8   8.    6. ]
 [ 89.7  68.6   3.   16. ]
 [ 80.1  62.5  12.   17. ]
 [ 82.   64.2  11.   12. ]
 [ 87.4  66.7   7.   16. ]
 [ 89.1  71.    3.    4. ]
 [ 89.   71.3   1.    6. ]
 [ 89.   72.7   2.    4. ]
 [ 88.8  71.1   2.    2. ]
 [ 74.4  57.8   5.   16. ]
 [ 78.2  60.3  16.   30. ]
 [ 82.5  64.2   7.    6. ]
 [ 85.6  72.6   0.    9. ]
 [ 79.9  67.7  14.   15. ]
 [ 86.1  66.1  31.   27. ]
 [ 89.   67.7   1.    5. ]
 [ 86.8  65.6   4.    4. ]
 [ 87.3  65.8   4.    5. ]
 [ 83.9  60.4  11.   13. ]
 [ 79.4  56.2   2.    1. ]
 [ 76.9  58.7   1.    5. ]
 [ 83.   66.2   7.   12. ]
 [ 77.   69.7   1.    2. ]
 [ 74.3  68.4   4.    4. ]
 [ 81.8  66.    0.    3. ]
 [ 83.5  60.8   2.    6. ]
 [ 84.   59.    0.    0. ]
 [ 83.   58.9   3.    7. ]
 [ 86.5  62.    2.    2. ]
 [ 84.   62.    0.    2. ]
 [ 80.9  61.3   6.    5. ]
 [ 83.8  64.    5.    5. ]
 [ 80.8  62.9   6.    9. ]
 [ 81.2  61.5  18.   14. ]
 [ 85.1  63.8  19.    3. ]
 [ 88.6  67.4   2.    2. ]
 [ 89.8  68.3   6.    2. ]
 [ 91.3  68.7  17.    1. ]
 [ 91.7  68.2  41.    7. ]
 [ 93.3  69.   12.    2. ]
 [ 93.8  70.   19.    0. ]
 [ 91.6  67.7  26.    4. ]
 [ 87.3  64.8   6.    3. ]
 [ 90.   67.1  20.    6. ]
 [ 90.   67.1  10.    4. ]
 [ 89.3  69.3   4.    4. ]
 [ 89.3  70.3   7.    3. ]
 [ 84.8  64.8  43.   27. ]
 [ 85.   65.8   1.    2. ]
 [ 87.4  65.6  25.   14. ]
 [ 89.9  67.9   2.    6. ]
 [ 87.8  66.3   6.    6. ]
 [ 86.   64.2   5.    2. ]
 [ 91.   67.1   8.    3. ]
 [ 92.   69.8   3.    3. ]
 [ 94.3  72.8   2.    3. ]
 [ 90.   67.4  14.    7. ]
 [ 90.   68.    0.    1. ]
 [ 88.3  66.3   8.    4. ]
 [ 83.5  62.8   5.    5. ]
 [ 84.   63.    5.    3. ]
 [ 87.4  65.2   3.    2. ]
 [ 89.   67.8   1.    1. ]
 [ 85.7  62.3   2.    5. ]
 [ 84.   58.9  84.   46. ]
 [ 90.1  67.3  15.   40. ]
 [ 91.2  70.1   9.    2. ]
 [ 94.   72.4  28.   28. ]
 [ 93.   70.    3.    3. ]
 [ 90.7  65.1  11.   12. ]
 [ 83.8  67.5   3.    5. ]
 [ 86.   70.2   4.    5. ]
 [ 89.5  73.9  22.   13. ]
 [ 89.7  72.    2.    7. ]
 [ 89.9  70.1  13.    5. ]
 [ 86.2  63.    3.    7. ]
 [ 84.   60.8   2.    6. ]
 [ 87.7  64.    0.    0. ]
 [ 88.5  67.4   2.    8. ]
 [ 85.   63.    1.    2. ]
 [ 82.8  60.    2.    1. ]
 [ 83.9  60.5   7.    9. ]
 [ 87.8  63.7  15.    5. ]
 [ 86.7  62.9   4.    4. ]
 [ 89.   66.5   3.    4. ]
 [ 92.7  68.4   8.    4. ]
 [ 93.5  68.5  10.    6. ]
 [ 94.   69.6   1.    3. ]
 [ 95.1  70.8   4.    4. ]
 [ 92.3  67.1  10.   16. ]
 [ 93.6  68.   12.    4. ]
 [ 91.   67.4   7.    4. ]
 [ 93.   67.5   1.    1. ]
 [ 93.1  67.7   4.    5. ]
 [ 94.7  70.    1.    2. ]
 [ 96.   72.    4.    5. ]
 [ 93.1  68.6  33.   11. ]
 [ 93.8  69.4  13.   14. ]
 [ 94.2  70.3  11.    6. ]
 [ 92.4  70.3  10.    4. ]
 [ 90.   69.3   2.    1. ]
 [ 91.8  68.6  18.   12. ]
 [ 94.4  71.6   5.    3. ]
 [ 94.8  72.1   4.    3. ]
 [ 91.6  68.5  16.   15. ]
 [ 88.2  65.1   4.    8. ]
 [ 85.3  62.   15.   10. ]
 [ 85.   65.5   1.    7. ]
 [ 78.6  59.6   4.    2. ]
 [ 80.4  61.6  13.    8. ]
 [ 81.8  62.4   3.    3. ]
 [ 86.4  67.6   3.    5. ]
 [ 83.4  63.8  10.    4. ]
 [ 82.6  60.4   5.   10. ]
 [ 89.3  65.2   8.   33. ]
 [ 94.6  71.9   7.    9. ]
 [ 95.3  69.8   5.    7. ]
 [ 97.5  76.3  21.    4. ]
 [ 89.3  69.    6.    5. ]
 [ 92.2  72.4   1.    3. ]
 [ 93.4  72.3   7.    9. ]
 [ 90.5  68.6  36.   30. ]
 [ 92.7  70.7   7.    3. ]
 [ 91.   65.2   7.    6. ]
 [ 93.3  68.   17.    5. ]
 [ 97.6  75.4   9.    8. ]
 [ 96.6  75.8   4.    3. ]
 [ 91.9  70.7   7.    6. ]
 [ 92.1  72.5  16.   11. ]
 [ 93.6  74.7   8.    7. ]
 [ 95.5  76.4  18.   27. ]
 [ 92.2  71.    4.    9. ]
 [ 94.2  74.1  11.   18. ]
 [ 92.2  74.2  14.   28. ]
 [ 88.8  68.7   7.    5. ]
 [ 91.7  71.6  15.   19. ]
 [ 92.7  73.3   8.   19. ]
 [ 94.   74.    1.    4. ]
 [ 93.   74.2   3.    2. ]
 [ 94.3  75.    4.    6. ]
 [ 95.7  74.1  45.   34. ]
 [ 94.8  75.3   9.   12. ]
 [ 94.   76.    1.    1. ]
 [ 94.3  77.5  10.   14. ]
 [ 93.5  75.2  13.   12. ]
 [ 93.   74.    9.    2. ]
 [ 95.3  77.3   8.    4. ]
 [ 94.5  73.1  18.   13. ]
 [ 91.6  70.1   9.   26. ]
 [ 90.   67.5   8.    4. ]
 [ 91.8  70.5   5.    0. ]
 [ 94.6  72.3  18.   10. ]
 [ 96.4  73.6  16.    4. ]
 [ 97.2  77.3   3.    7. ]
 [ 98.1  79.3  39.   17. ]
 [ 97.6  78.7  13.   13. ]
 [ 97.   76.6  23.   26. ]
 [ 93.8  72.4  36.   22. ]
 [ 93.4  73.1   4.    9. ]
 [ 91.8  71.8  26.    9. ]
 [ 93.8  70.3  38.    8. ]
 [ 96.6  75.2  32.   14. ]
 [ 98.9  76.   19.    7. ]
 [100.4  76.    9.    5. ]
 [ 98.8  77.    8.    2. ]
 [ 97.   76.1   6.    1. ]
 [ 95.1  75.1   7.    8. ]
 [ 96.5  76.   13.   11. ]
 [ 87.7  64.3   4.    7. ]
 [ 81.3  60.    9.    4. ]
 [ 91.4  66.6  28.    9. ]
 [ 99.8  74.8  23.    4. ]
 [ 95.   73.    2.    1. ]
 [ 94.   74.   39.   10. ]
 [ 93.3  72.   30.   15. ]
 [ 96.3  76.5  20.   10. ]
 [ 95.1  74.3  18.    8. ]
 [ 95.3  74.6  48.   28. ]]"
"[[ 80.2  64.2  49.    5. ]
 [ 82.8  66.8  10.    1. ]
 [ 83.4  64.4  69.   14. ]
 [ 86.4  63.3  38.   26. ]
 [ 88.   63.    6.    2. ]
 [ 91.1  75.9   4.   16. ]
 [ 92.5  79.5  58.   11. ]
 [ 96.5  81.   10.    1. ]
 [ 95.8  73.4  10.    5. ]
 [ 98.4  80.   16.    8. ]
 [ 98.6  81.2  30.   12. ]
 [100.   77.    2.    2. ]
 [ 98.3  76.7  11.    5. ]
 [100.9  77.3  36.    6. ]
 [102.2  79.7  24.    6. ]
 [101.4  80.1  17.   12. ]
 [100.1  79.6   3.   18. ]
 [100.9  79.7   2.   10. ]
 [ 94.2  76.2   2.   12. ]
 [ 86.   69.    0.    3. ]
 [ 85.4  75.7   8.   18. ]
 [ 90.4  81.9   5.    5. ]
 [ 91.   80.    5.    3. ]
 [ 90.6  78.8   5.    8. ]
 [ 97.9  73.9   3.   10. ]
 [ 98.6  84.    4.    3. ]
 [ 96.8  78.8   2.    3. ]
 [ 91.8  79.   10.   10. ]
 [ 92.5  79.    4.    3. ]
 [ 98.   76.5  27.   48. ]
 [ 95.2  81.    2.    2. ]
 [ 95.3  82.4   9.    8. ]
 [ 98.1  86.3  10.    6. ]
 [ 97.   83.2  12.    6. ]
 [ 96.6  83.1   8.   15. ]
 [ 96.9  85.1  32.   15. ]
 [ 98.   86.7   2.    8. ]
 [103.8  84.5   0.    4. ]
 [104.8  82.8   3.    7. ]
 [103.9  82.4   6.    7. ]
 [105.5  80.8   3.    1. ]
 [106.1  83.2   3.    4. ]
 [104.3  87.3   1.    3. ]
 [106.4  84.6   6.   15. ]
 [109.   80.8   7.    1. ]
 [109.   81.7   7.    9. ]
 [108.1  86.6   4.    5. ]
 [109.6  88.    2.    5. ]
 [110.   82.6   1.    3. ]
 [109.7  80.7   2.    5. ]
 [109.8  87.1   2.    5. ]
 [107.7  90.    2.    2. ]
 [106.   90.    2.    3. ]
 [108.   89.7   1.    1. ]
 [104.2  84.8   4.    7. ]
 [ 80.3  62.4   3.   15. ]
 [ 75.6  54.9   6.    3. ]
 [ 78.6  58.3   2.    3. ]
 [ 83.3  62.9   3.    7. ]
 [ 88.3  72.4   5.    5. ]
 [ 91.1  77.9   3.    2. ]
 [ 89.5  76.8  11.    3. ]
 [ 94.3  79.8   5.   12. ]
 [ 98.4  83.    6.    1. ]
 [ 99.7  85.2  12.    5. ]
 [100.   84.5  10.    6. ]
 [ 77.   62.    5.   21. ]
 [ 81.8  62.    0.    5. ]
 [ 82.5  62.    1.    2. ]
 [ 81.3  67.    2.    0. ]
 [ 87.2  74.4   4.    8. ]
 [ 86.2  72.3   6.    6. ]
 [ 86.   72.    1.    5. ]
 [ 92.9  82.1  62.   45. ]
 [ 90.7  75.4   6.    5. ]
 [ 98.   80.5   4.   26. ]
 [101.7  81.2   2.    1. ]
 [104.8  81.    1.    1. ]
 [106.   81.    8.    5. ]
 [105.3  81.3   0.    2. ]
 [104.2  82.5   1.    4. ]
 [ 98.7  74.2  12.   18. ]
 [102.3  77.1   4.    3. ]
 [104.6  81.8   0.    5. ]
 [103.   77.8   0.    4. ]
 [ 96.3  82.5   3.    7. ]
 [ 94.3  88.    5.    4. ]
 [105.6  90.3  19.   17. ]
 [110.7  84.3   3.    5. ]
 [112.  103.    2.   12. ]
 [110.9 102.9   2.    3. ]
 [108.1  82.6  11.   17. ]
 [ 87.   68.8   6.    9. ]
 [ 82.8  66.4   7.    4. ]
 [ 92.7  76.3   4.    7. ]
 [ 99.9  96.6   2.   13. ]
 [101.7 100.4   3.    3. ]
 [101.   85.9   7.   10. ]
 [103.5  98.    2.    5. ]
 [101.5  98.3   3.    2. ]
 [100.8  99.8   1.    4. ]
 [ 99.8  84.7   5.    9. ]
 [100.3  81.8   4.    5. ]
 [100.5  86.7   2.    7. ]
 [ 95.8  78.    2.    9. ]
 [ 86.2  69.7   5.    8. ]
 [ 93.8  79.5  24.   13. ]
 [ 98.5  78.   14.    3. ]
 [ 99.5  78.   26.    5. ]
 [102.5  82.8  27.   11. ]
 [102.4  86.    5.    7. ]
 [102.7  90.7  51.   17. ]
 [101.3  89.   12.    4. ]
 [102.2  89.4  12.    6. ]
 [103.   94.    5.    5. ]
 [100.   94.9   6.   10. ]
 [100.7  95.3  42.   28. ]
 [102.3  96.    3.    1. ]
 [103.3  96.1   8.    6. ]
 [106.5 100.5   7.   20. ]
 [104.3  95.8   4.    1. ]
 [101.3 100.3   7.   11. ]
 [100.   87.6  10.    5. ]
 [100.1  89.8  10.    7. ]
 [103.6  96.5   7.    7. ]
 [106.   92.   49.    8. ]
 [105.   92.2   8.    5. ]
 [104.   95.3  25.   13. ]
 [101.7  91.6  16.    8. ]
 [ 99.3  84.3   1.    1. ]
 [ 93.8  80.8  16.    4. ]
 [ 89.5  79.3  15.    4. ]
 [ 91.6  81.6  15.    8. ]
 [101.7  95.7   1.   10. ]
 [103.   98.3   1.    2. ]
 [101.   98.2   1.    2. ]
 [ 97.6  95.4   1.    1. ]
 [ 88.9  77.1  36.   23. ]
 [ 92.2  88.4   2.    6. ]
 [ 91.3  83.4  12.   12. ]
 [ 93.7  86.3  11.    1. ]
 [ 95.6  85.1  95.    9. ]
 [ 99.8  83.4 133.    8. ]
 [102.3  82.    0.    1. ]
 [104.4  98.8   2.   11. ]
 [ 99.8  81.3  10.    3. ]
 [ 99.8  77.   18.    8. ]
 [101.   76.8  20.    1. ]
 [103.   77.5   1.    0. ]
 [105.6  89.9  45.    5. ]
 [106.   86.7   1.    5. ]
 [105.7  76.9   1.    1. ]
 [103.6  89.6   6.   16. ]
 [ 98.5  93.8   7.    8. ]
